product_id,producer_code_standard,code_on_card,producer_name,category_name,series_name,description_name_eng,description_version_eng,description_long_eng,description_short_eng,price_gross,price_net,product_size,code_producer,product_code,stock,images_large_image_1,images_large_image_2,images_large_image_3,images_large_image_4,images_large_image_5,images_icons_icon,colour,product_buy_url,min_band_size,max_band_size,min_cup_size,max_cup_size,full_on_bottom,full_on_top,even,center_full,outer_full,average,shallow,projected,separation,large_roots
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,65H,5908211906188,13513,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,black,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,63,67,91,93,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70A,5908211958774,13514,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,white,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,82,84,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70A,5908211959160,13515,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,black,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,82,84,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70B,5908211958781,13516,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,white,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,84,86,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70B,5908211959177,13517,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,black,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,84,86,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70C,5908211958798,13518,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,white,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,86,88,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70C,5908211959184,13519,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,black,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,86,88,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70D,5908211958804,13520,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,white,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,88,90,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70D,5908211959191,13521,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,black,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,88,90,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70E,5908211958811,13522,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,white,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,90,92,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70E,5908211959207,13523,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,black,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,90,92,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70F,5908211958828,13524,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,white,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,92,94,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70F,5908211959214,13525,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,black,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,92,94,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70G,5908211958835,13526,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,white,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,94,96,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,70G,5908211959221,13527,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,black,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,68,72,94,96,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,75A,5908211958842,13528,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,white,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,73,77,87,89,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,75A,5908211959238,13529,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,black,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,73,77,87,89,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,75B,5908211958859,13530,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,white,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,73,77,89,91,0,0,0,0,0,0,0,0,0,0
13556,KINGA,POLA biustonosz push-up Kinga,Kinga,Kolekcje > Bazowa,Kolekcje > Bazowa,POLA,,,,39.90,32.44,75B,5908211959245,13531,0,https://www.kinga.com.pl/media/catalog/product/p/o/pola_m-1631_2C_f-1632_2C_f-1633_white1_4.jpg,,,,,,black,https://www.kinga.com.pl/en/pola-bra-m-1631?92=402&132=46&fee=2&fep=13556,73,77,89,91,0,0,0,0,0,0,0,0,0,0
